scene,N_frames,ATE_Joint,ATE_rmse,RTE_mean,RRE_mean,Time(s),Mem(MB)
breville,117,0.47478,0.48281,0.20795,0.1568,47.11137247085571,20623.79296875
car_resized,169,0.63149,0.66636,0.14287,0.1822,49.695338010787964,21265.7353515625
community,98,0.07871,0.0852,0.06804,0.4231,95.26285815238953,18213.37109375
dyson,68,0.59627,0.6155,0.29168,0.4967,51.380953550338745,13326.8818359375
grill_resized,147,0.50906,0.51383,0.15088,0.1752,39.28048300743103,19865.19384765625
kitchen,41,0.08529,0.09002,0.04706,0.1323,5.6213719844818115,13181.48095703125
living_room,106,0.52328,0.58037,0.27554,0.3562,17.3585307598114,19838.74658203125
mac,110,0.23374,0.25575,0.05407,0.3739,16.73781180381775,17434.2587890625
ninja,146,0.07641,0.08303,0.16342,0.339,19.470192670822144,19865.19384765625
spa,83,0.56663,0.6361,0.30166,0.5853,10.19588851928711,16999.333984375
street,87,0.97234,1.08563,0.42352,0.7373,12.414275407791138,19228.77734375
